76,true,{{1/1,0/1,-1/1,0/1,0/1,0/1},{0/1,1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-3/1,0/1,0/1,-1/1}},false
77,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,0/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
78,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
79,false,{},false
80,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
81,false,{},false
82,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,-1/1,-1/1}},false
83,true,{{1/1,0/1,-1/1,0/1,0/1,0/1},{0/1,1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,-3/1,-1/1,-1/1,-1/1}},false
84,false,{},false
85,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,-1/1,-1/1}},false
86,true,{{1/1,0/1,-1/1,0/1,-1/1,0/1},{0/1,1/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,-3/1,-1/1,-3/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,-3/1,0/1,-3/1,-1/1}},false
87,false,{},false
88,true,{{1/1,0/1,-1/1,0/1,-1/1,0/1},{0/1,1/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,-3/1,-1/1,-3/1,-1/1}},false
89,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
90,false,{},false
91,false,{},false
92,false,{},false
93,false,{},false
94,true,{{1/1,0/1,-1/1,0/1,0/1,0/1},{0/1,1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-3/1,-1/1,0/1,-1/1},{0/1,0/1,0/1,0/1,1/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-3/1,0/1,0/1,-1/1}},false
95,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,-1/1}},false
96,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,-1/1}},false
97,false,{},false
98,false,{},false
99,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,1/1,-1/1},{0/1,0/1,0/1,-1/1,0/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
100,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,1/1,-1/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,-1/1}},false
101,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,1/1,-1/1},{0/1,0/1,0/1,-2/1,0/1,-1/1},{0/1,0/1,0/1,-1/1,0/1,-1/1}},false
102,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,-2/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
