116,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,-1/1,0/1}},false
117,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
118,false,{},false
119,false,{},false
120,false,{},false
121,false,{},false
122,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,-1/1},{0/1,0/1,0/1,-1/1,-2/1},{0/1,0/1,0/1,0/1,-1/1}},false
123,true,{{1/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,1/1,-1/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,-3/1,-1/1}},false
124,true,{{1/1,-1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,-2/1,-2/1,-1/1,-1/1},{0/1,-1/1,-1/1,0/1,0/1},{0/1,-2/1,-2/1,0/1,-1/1}},false
125,false,{},false
126,true,{{1/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,1/1,-2/1,-1/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,-2/1,-1/1}},false
127,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,-1/1}},false
128,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
129,false,{},false
130,false,{},false
